Type;ECU;Switch;SwPort;Type;ECU;Switch|Ctrl;SwPort|None;Untagged;0x41 AudioVideo;0x43 CEVLAN;0x44 DiagIntern;0x45 ExternalDiagnostic;0x46 wiFiInternet;0x49 InVehicle;0x4c LightPipe;0x4d Internet;0x50 VoIP;0x53 SmartChargingCom;0x56 Video;0x69 InVehicleInfotainment;0x90 EntertainmentCore;0xa0 LocalIPB;0xa7 Local;0xaa IPNextInternal
SwitchPort;ICON;Switch_ICON;couplingPort_ConnectTo_ICON_BAMController;Controller;ICON;ICON_BAMController;;;;0x43;0x44;0x45;0x46;0x49;;0x4d;;;;0x69;0x90;;0xa7;
SwitchPort;ICON;Switch_ICON;couplingPort_ConnectTo_ICON_NADController;Controller;ICON;ICON_NADController;;;;0x43;0x44;;;;;0x4d;0x50;;;0x69;;;0xa7;
SwitchPort;ICON;Switch_ICON;couplingPort_ConnectTo_Switch_IPN;SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_ICON;;;;0x44;0x45;;0x49;;;;;;0x69;0x90;;;
SwitchPort;IDCevo;SwitchIDCevo;couplingPort_ConnectTo_IDCevoController;Controller;IDCevo;IDCevoController;;;;;0x44;0x45;;;0x4c;;;;;0x69;;;;
SwitchPort;IDCevo;SwitchIDCevo;couplingPort_ConnectTo_Switch_IPN;SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_SwitchIDCevo;;;;0x44;0x45;;;0x4c;;;;;0x69;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_BAC25_ETHController;Controller;BAC25_ETH;BAC25_ETHController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_CASP25_ETHController;Controller;CASP25;CASP25_ETHController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_IPB_App1Controller;Controller;IPB_App;IPB_App1Controller;;;;;0x44;0x45;;0x49;;;;;;;;0xa0;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_IPB_App2Controller;Controller;IPB_App;IPB_App2Controller;;;;;0x44;0x45;;0x49;;;;;;;;0xa0;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_IPB_BNRController;Controller;IPB_BNR;IPB_BNRController;;;;;0x44;;;0x49;;;;;;;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_SWSwitch_IPF;SwitchPort;IPF_FAR;SWSwitch_IPF;couplingPort_ConnectTo_Switch_IPB;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_Switch_IPN;SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_IPB;;;;0x44;0x45;;0x49;0x4c;;;;;0x69;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_TestEquipmentExternController;Controller;TestEquipmentExtern;TestEquipmentExternController;;untagged;;;;;;;;;;;;;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_TestEquipmentInternController;Controller;TestEquipmentIntern;TestEquipmentInternController;;;;;0x44;0x45;;0x49;;;;;;0x69;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_ZIM_HController;Controller;ZIM_H;ZIM_HController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPB_App;Switch_IPB;couplingPort_ConnectTo_sBAC_Eth_EES25Controller;Controller;sBAC_Eth_EES25;sBAC_Eth_EES25Controller;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPF_FAR;SWSwitch_IPF;couplingPort_ConnectTo_IPF_DAFController;Controller;IPF_DAF;IPF_DAFController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPF_FAR;SWSwitch_IPF;couplingPort_ConnectTo_IPF_FARController;Controller;IPF_FAR;IPF_FARController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPF_FAR;SWSwitch_IPF;couplingPort_ConnectTo_IPF_HVMController;Controller;IPF_HVM;IPF_HVMController;;;;;0x44;0x45;;0x49;;;;0x53;;;;;;
SwitchPort;IPF_FAR;SWSwitch_IPF;couplingPort_ConnectTo_Switch_IPB;SwitchPort;IPB_App2;Switch_IPB;couplingPort_ConnectTo_SWSwitch_IPF;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_FRRController;Controller;FRR;FRRController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_IPN_CVController;Controller;IPN_CV;IPN_CVController;;;;;0x44;0x45;;0x49;;;;;;;;;;0xaa
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_IPN_MAINController;Controller;IPN_MAIN;IPN_MAINController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_IPN_PERFController;Controller;IPN_PERF;IPN_PERFController;;;;;0x44;0x45;;0x49;;;;;0x56;0x69;0x90;;;0xaa
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_MARSController;Controller;MARS;MARSController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_MRRController;Controller;MRR;MRRController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_SRR_HLController;Controller;SRR_HL;SRR_HLController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_SRR_HRController;Controller;SRR_HR;SRR_HRController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_SRR_VLController;Controller;SRR_VL;SRR_VLController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_SRR_VRController;Controller;SRR_VR;SRR_VRController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_SVPController;Controller;SVP;SVPController;;;;;;;;0x49;;;;;;0x69;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_SwitchIDCevo;SwitchPort;IDCevo;SwitchIDCevo;couplingPort_ConnectTo_Switch_IPN;;;;0x44;0x45;;;0x4c;;;;;0x69;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_ICON;SwitchPort;ICON;Switch_ICON;couplingPort_ConnectTo_Switch_IPN;;;;0x44;0x45;;0x49;;;;;;0x69;0x90;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_IPB;SwitchPort;IPB_App2;Switch_IPB;couplingPort_ConnectTo_Switch_IPN;;;;0x44;0x45;;0x49;0x4c;;;;;0x69;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_L3_Addon_Safety;SwitchPort;L3_Addon_Safety;Switch_L3_Addon_Safety;couplingPort_ConnectTo_Switch_IPN;;;;;0x45;;0x49;;;;;;;;;;
SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_SFS;SwitchPort;SFS;Switch_SFS;couplingPort_ConnectTo_Switch_IPN;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;L3_Addon_Safety;Switch_L3_Addon_Safety;couplingPort_ConnectTo_L3_Addon_SafetyController;Controller;L3_Addon_Safety;L3_Addon_SafetyController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;L3_Addon_Safety;Switch_L3_Addon_Safety;couplingPort_ConnectTo_SRR_LController;Controller;SRR_L;SRR_LController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;L3_Addon_Safety;Switch_L3_Addon_Safety;couplingPort_ConnectTo_SRR_RController;Controller;SRR_R;SRR_RController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;L3_Addon_Safety;Switch_L3_Addon_Safety;couplingPort_ConnectTo_Switch_IPN;SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_L3_Addon_Safety;;;;;0x45;;0x49;;;;;;;;;;
SwitchPort;SFS;Switch_SFS;couplingPort_ConnectTo_SFSController;Controller;SFS;SFSController;;;;;0x44;0x45;;0x49;;;;;;;;;;
SwitchPort;SFS;Switch_SFS;couplingPort_ConnectTo_Switch_IPN;SwitchPort;IPN_MAIN;Switch_IPN;couplingPort_ConnectTo_Switch_SFS;;;;0x44;0x45;;0x49;;;;;;;;;;
